,bS,dA,phi,dL,A0
0,1.0221222677500363,0.09024308215449037,0.0008222266699848721,0.003247057410838113,1268.212897488286
1,0.12617446956955305,0.667186380969469,0.005394360662198343,0.005968088494124813,829.7778740965589
2,0.5879107525715566,0.062175950698056225,0.0001,0.005918127635754792,272.7345765385391
3,0.10000325390567417,0.8892929825685265,0.009991811770209509,0.007161747188279324,483.18835979747473
4,0.1,0.007694493343490943,0.00011643164291156089,-0.0007872891312938619,662.9481951609541
5,1.014002451151674,0.06536856979915157,0.0001,0.00020090759024713291,662.133448762342
6,0.5560062794841724,0.5394570468532526,0.0001,0.0003839524319495362,2221.572449915925
7,0.1,0.0646105027895802,0.0001,0.0001312583416619848,576.8019457898438
8,0.1,0.830760063150391,0.0001,0.000394115462916414,1081.378778428383
9,0.3734088854774192,0.6260110376150986,0.009998676377487003,0.006527491965363241,479.21661179194007
10,0.8905938351526502,0.20470492688355602,0.0003080913033907354,0.0012880798546590516,975.929515802142
11,0.794299629615454,0.2779148263690353,0.0006079540655469171,0.0023152588051568836,615.6177344059572
12,0.6721073260241686,0.08192380694182103,0.0017228278360828708,0.006476469967278035,895.3628590377103
13,0.6314752539763285,0.7208135532377385,0.0015267796503974469,0.0064147587439721,1555.6480237871697
14,1.0027953371060945,0.31859957844382825,0.00010004560696071668,0.0008101826888427184,1517.6615788083777
15,0.9933048870633974,0.17254985276732904,0.0001,0.00013608100284628088,613.9831332703483
16,0.9965892316694216,0.13894470354059746,0.0001,0.0004479408122002091,2414.221126073119
17,0.1,0.025232405220431443,0.0004901966148145676,-0.0007441245652810871,155.1123422096966
18,0.9986533219336698,0.09775289721309131,0.0001,0.0076746331009440805,1225.4812740315556
19,1.035149405766204,0.025214225698940565,0.0001181734234388082,0.00317426835549422,930.5065989417573
20,1.0997640061582206,0.07031546647458352,0.0001,0.0005034841922507095,2214.93500789731
21,1.0344671367611447,0.011027025353533983,0.0014298638648613372,0.009260973598328486,1671.91641165546
