parameter,value,se_sa,rse_sa
V1_0_pop,314892.183608952,74083.1101113824,23.5265001697795
thV1_pop,3.11227045101733,0.409400580746214,13.1544024592204
thV2_pop,0.24999996934984,0.0504697393352865,20.1878982091639
tchg_pop,1.87644339757145,0.350616968777825,18.6851875858128
omega_V1_0,1.05799301987955,0.190144024061602,17.9721435291936
omega_thV1,0.160451362247974,0.0566251068314319,35.2911349820259
omega_thV2,0.386316128892729,0.568409045085754,147.135727083139
omega_tchg,0.104043726356415,0.045016578453733,43.2669801728582
a,0.689069659686763,0.0471936683177961,6.84889657444058
