id,importanceSampling
1.0,2.158245
4.0,2.152116
5.0,1.808302
12.0,2.705777
29.0,4.384147
49.0,7.161062
50.0,2.092902
55.0,3.443220
57.0,5.277035
73.0,7.298745
78.0,10.879195
97.0,1.989802
101.0,2.210828
105.0,1.374422
108.0,5.581578
116.0,5.090956
117.0,7.158522
120.0,2.503757
124.0,4.689216
126.0,1.728904
129.0,5.782994
133.0,1.359565
134.0,4.986335
139.0,1.489899
